raw-pancreas-human-Baron.h5ad,raw-pancreas-mouse-Baron.h5ad
ENTR1,Entr1
MLYCD,Mlycd
NUMA1,Numa1
SYT7,Syt7
DAZAP1,Dazap1
SMC5,Smc5
FGF11,Fgf11
THNSL1,Thnsl1
COA8,Apopt1
TEX37,Tex37
CDK16,Cdk16
FRS2,Frs2
CCNB1,Ccnb1
SPON2,Spon2
ASS1,Ass1
TRMT11,Trmt11
SWI5,Swi5
FOXI3,Foxi3
ECEL1,Ecel1
SEL1L3,Sel1l3
CELF2,Celf2
RNASE6,Rnase6
SLC36A1,Slc36a1
PRKCSH,Prkcsh
SLC6A6,Slc6a6
PTGFRN,Ptgfrn
IL2RA,Il2ra
TLE2,Tle2
PLA2G4C,Pla2g4c
ITGA8,Itga8
CYLC2,Cylc2
WDR33,Wdr33
ASCL3,Ascl3
SSC4D,Ssc4d
DCAF7,Dcaf7
ENO2,Eno2
BCLAF1,Bclaf1
RNASE1,Rnase1
RAB25,Rab25
KAT14,Kat14
IL12B,Il12b
TMEM9B,Tmem9b
DCDC2,Dcdc2a
HPSE2,Hpse2
TMEM183A,Tmem183a
TEX261,Tex261
APOB,Apob
ATRNL1,Atrnl1
DOCK10,Dock10
ZNF639,Zfp639
ST7L,St7l
TMEM121,Tmem121
MPDZ,Mpdz
RWDD4,Rwdd4a
OIP5,Oip5
C6orf201,4933417A18Rik
WDR19,Wdr19
IL18BP,Il18bp
CLSTN1,Clstn1
PET117,Pet117
MACF1,Macf1
TRIM44,Trim44
SLC37A1,Slc37a1
ZBBX,Zbbx
NRSN1,Nrsn1
FAXC,Faxc
RNF24,Rnf24
KRTAP15-1,Krtap15
CCDC14,Ccdc14
SOX2,Sox2
CCDC88A,Ccdc88a
TOR1A,Tor1a
AGPS,Agps
EZH2,Ezh2
TENM4,Tenm4
PATZ1,Patz1
CCP110,Ccp110
B4GALT6,B4galt6
GPATCH3,Gpatch3
RYR2,Ryr2
BUD31,Bud31
PWP1,Pwp1
EHD1,Ehd1
PRSS21,Prss21
ACYP1,Acyp1
NCCRP1,Nccrp1
HK2,Hk2
DUSP16,Dusp16
ZC2HC1C,Zc2hc1c
MICAL1,Mical1
KAT6B,Kat6b
C6orf163,Gm136
TMEM102,Tmem102
SFT2D3,Sft2d3
SAMD4B,Samd4b
PANK2,Pank2
NUDT2,Nudt2
FANCE,Fance
CD2,Cd2
NTS,Nts
GFRA1,Gfra1
MSRB2,Msrb2
CLEC4G,Clec4g
ABHD18,Abhd18
MACO1,Maco1
GMFG,Gmfg
PRSS56,Prss56
C5orf51,AW549877
NTSR2,Ntsr2
PIK3IP1,Pik3ip1
SDCBP2,Sdcbp2
CASKIN2,Caskin2
CREBL2,Crebl2
DDX21,Ddx21
ALX4,Alx4
ELMO1,Elmo1
PTF1A,Ptf1a
EXT2,Ext2
GPN2,Gpn2
GPBAR1,Gpbar1
PLAC1,Plac1
AVPR1B,Avpr1b
OLIG3,Olig3
MIP,Mip
TSPAN33,Tspan33
PAK4,Pak4
POGK,Pogk
ANAPC7,Anapc7
SPEM2,Spem2
PUM2,Pum2
ADCY1,Adcy1
VARS1,Vars
SMIM20,Smim20
FREM3,Frem3
OXCT1,Oxct1
OR5C1,Olfr368
TACO1,Taco1
SYCN,Sycn
VAC14,Vac14
SPEM1,Spem1
STX5,Stx5a
ING2,Ing2
LRFN1,Lrfn1
CTSE,Ctse
PDCL,Pdcl
FZD6,Fzd6
HSPH1,Hsph1
SLIT1,Slit1
TMEM94,Tmem94
SDCBP,Sdcbp
GPR158,Gpr158
MESD,Mesd
TADA1,Tada1
HNRNPA2B1,Hnrnpa2b1
DZANK1,Dzank1
ATP2A2,Atp2a2
NEK9,Nek9
CNNM1,Cnnm1
FJX1,Fjx1
TRAPPC8,Trappc8
RASSF9,Rassf9
MFSD8,Mfsd8
TTC25,Ttc25
FAM122B,Fam122b
OSBPL8,Osbpl8
SFN,Sfn
MYORG,Myorg
RNH1,Rnh1
STRIP2,Strip2
AP2S1,Ap2s1
DNAH5,Dnah5
KCNQ4,Kcnq4
GPR19,Gpr19
TNRC18,Tnrc18
NARS2,Nars2
NLGN2,Nlgn2
CLK1,Clk1
SLC7A9,Slc7a9
LACTBL1,Lactbl1
FIGNL1,Fignl1
ANKRD13B,Ankrd13b
GTPBP8,Gtpbp8
CHD5,Chd5
GPR17,Gpr17
KATNB1,Katnb1
LIMS2,Lims2
OSGIN1,Osgin1
CNIH2,Cnih2
MGMT,Mgmt
ACADL,Acadl
IGSF3,Igsf3
TMED10,Tmed10
KRTAP8-1,Krtap8-1
KRTAP7-1,Krtap7-1
SERPINI2,Serpini2
YIF1A,Yif1a
KRTAP11-1,Krtap11-1
SMARCA5,Smarca5
ZDHHC18,Zdhhc18
YAP1,Yap1
TEX14,Tex14
NEPRO,Nepro
IGHE,Ighe
ACTR3,Actr3
C12orf4,D6Wsu163e
SMPD2,Smpd2
ROBO3,Robo3
CABP5,Cabp5
USP11,Usp11
CEP152,Cep152
ESS2,Ess2
KIFC3,Kifc3
FAM222A,Fam222a
TFR2,Tfr2
MIEN1,Mien1
LRRC23,Lrrc23
HECTD4,Hectd4
C10orf67,4921504E06Rik
ERBB2,Erbb2
CHRND,Chrnd
SPATS1,Spats1
FAM20A,Fam20a
CDC42BPG,Cdc42bpg
FAM3C,Fam3c
LDHA,Ldha
LTBP4,Ltbp4
NCBP2AS2,0610012G03Rik
PLA2G15,Pla2g15
CREB3L3,Creb3l3
TPI1,Tpi1
INTS10,Ints10
C9orf78,BC005624
DNAH10,Dnah10
FAM122C,Fam122c
TRBV2,Trbv3
MASP1,Masp1
ZMIZ2,Zmiz2
ARFGEF1,Arfgef1
CYP4F22,Cyp4f39
NAGK,Nagk
SIX1,Six1
HACD2,Hacd2
NSMAF,Nsmaf
TRBV3-1,Trbv4
FGF6,Fgf6
NFRKB,Nfrkb
CDKN2AIP,Cdkn2aip
SYP,Syp
SNPH,Snph
MYLK,Mylk
KRTCAP3,Krtcap3
TNFAIP1,Tnfaip1
NCOA4,Ncoa4
SPSB2,Spsb2
HINT3,Hint3
SELENOW,Selenow
MTSS2,Mtss2
NDUFS4,Ndufs4
BAHCC1,Bahcc1
COL14A1,Col14a1
RGL1,Rgl1
RTP4,Rtp4
ASAP2,Asap2
GTF2IRD1,Gtf2ird1
CCDC201,Ccdc201
NCOA7,Ncoa7
IFT74,Ift74
POPDC3,Popdc3
APTX,Aptx
GOT1,Got1
CDKN1B,Cdkn1b
AAMP,Aamp
TRAF3IP1,Traf3ip1
NCBP2,Ncbp2
FLNB,Flnb
NSD3,Nsd3
CCDC103,Ccdc103
SENP5,Senp5
NECAB2,Necab2
FBXL4,Fbxl4
GPR155,Gpr155
PAIP2B,Paip2b
FOXQ1,Foxq1
PPFIA1,Ppfia1
SH3RF2,Sh3rf2
FAM187A,Fam187a
RHBDL1,Rhbdl1
YEATS4,Yeats4
TMEM45B,Tmem45b
CCDC172,Ccdc172
ARHGEF28,Arhgef28
ATP1A1,Atp1a1
NKX2-3,Nkx2-3
LIG3,Lig3
SLC25A28,Slc25a28
STAB1,Stab1
NACC2,Nacc2
FGF23,Fgf23
UBE2O,Ube2o
CFAP251,Wdr66
TCP11L1,Tcp11l1
SHARPIN,Sharpin
ABCC5,Abcc5
IGFBP1,Igfbp1
LRRC19,Lrrc19
LUC7L3,Luc7l3
CLCN3,Clcn3
LIPH,Liph
ALX1,Alx1
RC3H2,Rc3h2
RAB1B,Rab1b
CYP26B1,Cyp26b1
NOP53,Nop53
RPP21,Rpp21
KLK4,Klk4
CDK14,Cdk14
ZFAND2B,Zfand2b
CSTF3,Cstf3
DDX50,Ddx50
FMO4,Fmo4
GRXCR1,Grxcr1
NXPH3,Nxph3
UBLCP1,Ublcp1
CTXND2,4930558C23Rik
AGR3,Agr3
C18orf25,8030462N17Rik
MTFR2,Mtfr2
APOBEC4,Apobec4
LNPEP,Lnpep
VWA7,Vwa7
SIX4,Six4
RIOK3,Riok3
AARS2,Aars2
PLAC8L1,Plac8l1
TRIM39,Trim39
MOCOS,Mocos
KLK15,Klk15
PRPSAP2,Prpsap2
NPM1,Npm1
PLD6,Pld6
EID1,Eid1
SHC4,Shc4
CNOT11,Cnot11
SAPCD1,Sapcd1
FAU,Fau
ASB1,Asb1
MOSPD1,Mospd1
WWC2,Wwc2
LIN7B,Lin7b
SLC36A4,Slc36a4
NGFR,Ngfr
CTLA4,Ctla4
CPSF3,Cpsf3
TMEM250,Tmem250-ps
WDR90,Wdr90
PPFIA3,Ppfia3
TMEM106B,Tmem106b
BARX2,Barx2
RNF149,Rnf149
TCTE1,Tcte1
MAP3K3,Map3k3
POLR3F,Polr3f
POMGNT1,Pomgnt1
PRICKLE3,Prickle3
LMBRD2,Lmbrd2
LYZ,9530003J23Rik
SYN1,Syn1
SLC30A5,Slc30a5
DOCK4,Dock4
KIF27,Kif27
STOX1,Stox1
IGFBP3,Igfbp3
PPP3CB,Ppp3cb
SEMA3C,Sema3c
ZNHIT3,Znhit3
NT5DC2,Nt5dc2
NLRP5,Nlrp5
LAMTOR2,Lamtor2
TMEM150B,Tmem150b
BVES,Bves
MNAT1,Mnat1
ITGB1BP1,Itgb1bp1
METTL3,Mettl3
FADD,Fadd
STK39,Stk39
ZNF483,Zkscan16
UBQLN4,Ubqln4
ANKRD46,Ankrd46
ARAF,Araf
MUC1,Muc1
TEX38,Tex38
MYO19,Myo19
BRSK1,Brsk1
MAB21L3,Mab21l3
NRIP3,Nrip3
KMT5B,Kmt5b
ARSI,Arsi
EHD2,Ehd2
CACHD1,Cachd1
TRAM2,Tram2
SLC2A6,Slc2a6
SKP2,Skp2
TIGAR,Tigar
SEMA4F,Sema4f
SECISBP2L,Secisbp2l
TRAF2,Traf2
SMIM8,Smim8
CRHBP,Crhbp
POU3F2,Pou3f2
DTX2,Dtx2
BORCS8,Borcs8
MSANTD2,Msantd2
IL34,Il34
SLC38A8,Slc38a8
CFAP54,Cfap54
MTNR1B,Mtnr1b
EMID1,Emid1
NRF1,Nrf1
VLDLR,Vldlr
TMEM54,Tmem54
GDF11,Gdf11
KCTD8,Kctd8
SLC1A5,Slc1a5
ACTG1,Actg1
LIMD2,Limd2
SPARCL1,Sparcl1
SH3D19,Sh3d19
PDE4B,Pde4b
BSPH1,Bsph1
PIGW,Pigw
RAB2B,Rab2b
CYB5R1,Cyb5r1
TG,Tg
OTUD1,Otud1
OR10R2,Olfr1358
LIN28B,Lin28b
SEC14L4,Sec14l4
RNF125,Rnf125
FBXL18,Fbxl18
TRPV1,Trpv1
FOS,Fos
SLC22A15,Slc22a15
GLIS2,Glis2
GRK4,Grk4
HPCA,Hpca
WDR49,Wdr49
EPHB2,Ephb2
EPB41,Epb41
C9orf24,1110017D15Rik
TMEM14A,Tmem14a
GRIP2,Grip2
RINT1,Rint1
TMEM50A,Tmem50a
ORC2,Orc2
ATPAF1,Atpaf1
HS3ST5,Hs3st5
PRSS48,Prss48
USP54,Usp54
FSD1L,Fsd1l
TIMP1,Timp1
FAM174A,Fam174a
GSC2,Gsc2
ARHGEF10L,Arhgef10l
RAB7B,Rab7b
OR5D16,Olfr1155
TWIST2,Twist2
S100Z,S100z
RNF40,Rnf40
CENPO,Cenpo
FMO1,Fmo1
CRTC1,Crtc1
PIGH,Pigh
MOB2,Mob2
FST,Fst
MAMDC2,Mamdc2
AANAT,Aanat
SEZ6L,Sez6l
PLEKHH1,Plekhh1
TOX4,Tox4
SPRR3,Sprr3
FKRP,Fkrp
RHBDF2,Rhbdf2
PRDM15,Prdm15
AS3MT,As3mt
RFFL,Rffl
CNTF,Cntf
STRN4,Strn4
ADCY3,Adcy3
HRAS,Hras
RSRP1,Rsrp1
PTPRZ1,Ptprz1
SMIM4,Smim4
LRRIQ1,Lrriq1
PTGR1,Ptgr1
ALKBH1,Alkbh1
SEMA6A,Sema6a
NFKBIE,Nfkbie
IFNGR1,Ifngr1
PBRM1,Pbrm1
DSPP,Dspp
GAB1,Gab1
PPIL3,Ppil3
CORIN,Corin
TRBV15,Trbv17
SSR2,Ssr2
FGF8,Fgf8
FSCN2,Fscn2
TRBV19,Trbv19
CLMP,Clmp
ST8SIA4,St8sia4
IL27,Il27
IAPP,Iapp
FOXF2,Foxf2
C9orf135,1700028P14Rik
SLIRP,Slirp
LRRC10B,Lrrc10b
RBBP9,Rbbp9
CLN3,Cln3
AGR2,Agr2
JDP2,Jdp2
RAD21L1,Rad21l
STRADA,Strada
SNW1,Snw1
SLA,Sla
ATP5F1A,Atp5a1
RAPSN,Rapsn
C6orf89,BC004004
PNLIP,Pnlip
TAP1,Tap1
RNF121,Rnf121
TLX3,Tlx3
ADCY5,Adcy5
CHKA,Chka
FOXC1,Foxc1
LRRC75B,Lrrc75b
RNF138,Rnf138
NHLH2,Nhlh2
DNAJC7,Dnajc7
MOB3C,Mob3c
KREMEN1,Kremen1
FAAP100,Faap100
OR52N1,Olfr664
CCDC47,Ccdc47
RANBP17,Ranbp17
TNK1,Tnk1
ARNT,Arnt
GSTA5,Gsta3
MYL1,Myl1
BCL7A,Bcl7a
NIF3L1,Nif3l1
SLC35B2,Slc35b2
SPACA6,Spaca6
MTR,Mtr
PPP2R3C,Ppp2r3c
SLC29A3,Slc29a3
HDGFL1,Hdgfl1
TENM1,Tenm1
WNT2B,Wnt2b
MYMK,Mymk
OPN4,Opn4
ZNF292,Zfp292
TRIM24,Trim24
PRDM4,Prdm4
CHL1,Chl1
DUSP8,Dusp8
C8B,C8b
MYBPC1,Mybpc1
TRPV4,Trpv4
VPS13D,Vps13d
PTRHD1,Ptrhd1
CPEB3,Cpeb3
DNAJC25-GNG10,Gm20503
DNAJC25,Dnajc25
CREG2,Creg2
PIGV,Pigv
DMP1,Dmp1
B3GLCT,B3glct
PLSCR3,Plscr3
ACAA2,Acaa2
KLHDC10,Klhdc10
C20orf202,Tmem74bos
KLC2,Klc2
TRBV28,Trbv29
GNG10,Gng10
ABCA8,Abca8b
PIEZO2,Piezo2
NFYC,Nfyc
TRBV29-1,Trbv30
CTTNBP2NL,Cttnbp2nl
FRMD4A,Frmd4a
HAUS1,Haus1
SH2D1A,Sh2d1a
PSMB9,Psmb9
KLHL26,Klhl26
HNRNPH1,Hnrnph1
ALDH1B1,Aldh1b1
WDR76,Wdr76
SYF2,Syf2
ARHGAP12,Arhgap12
TSPAN13,Tspan13
ADAM21,Adam21
ZBTB6,Zbtb6
YIPF7,Yipf7
APOLD1,Apold1
EXOC6B,Exoc6b
POU6F2,Pou6f2
ZBTB26,Zbtb26
TMEM74B,Tmem74b
CNNM2,Cnnm2
ERCC8,Ercc8
PPP1R32,Ppp1r32
SPRR4,Sprr4
ESAM,Esam
USP38,Usp38
DNASE1L3,Dnase1l3
CENPV,Cenpv
RECQL,Recql
HSP90AB1,Hsp90ab1
APOBR,Apobr
RNF145,Rnf145
AL162596.1,2210017I01Rik
BATF,Batf
MARCHF5,Marchf5
AASS,Aass
IBSP,Ibsp
SST,Sst
NPLOC4,Nploc4
RTP2,Rtp2
CPA6,Cpa6
GRB7,Grb7
COG4,Cog4
UBB,Ubb
CYFIP2,Cyfip2
RFX8,Rfx8
LURAP1,Lurap1
LPL,Lpl
AC008481.3,Gm49318
PTAR1,Ptar1
INTS13,Ints13
ELAVL3,Elavl3
MEPE,Mepe
STX7,Stx7
F7,F7
HDAC2,Hdac2
SHANK1,Shank1
RBM43,Rbm43
FAT3,Fat3
ATP4A,Atp4a
FSTL3,Fstl3
ADD2,Add2
ZNF385C,Zfp385c
TMEM213,Tmem213
CDK19,Cdk19
CBX3,Cbx3
ECSIT,Ecsit
ATP6V0A4,Atp6v0a4
PRSS57,Prss57
PNLIPRP1,Pnliprp1
HDAC4,Hdac4
CD36,Cd36
DHX58,Dhx58
FAM78B,Fam78b
RHCG,Rhcg
TRPV3,Trpv3
PRKAG2,Prkag2
PAXIP1,Paxip1
CD63,Cd63
FLVCR2,Flvcr2
EDF1,Edf1
SUSD2,Susd2
FGFR1OP2,Fgfr1op2
DNAJB13,Dnajb13
MTIF2,Mtif2
ZNF653,Zfp653
PYROXD1,Pyroxd1
KCND3,Kcnd3
NKIRAS2,Nkiras2
SERPINF1,Serpinf1
KIAA1549,D630045J12Rik
SLC6A15,Slc6a15
PNLIPRP2,Pnliprp2
SLC7A6,Slc7a6
UCP2,Ucp2
PGLYRP1,Pglyrp1
IGFBPL1,Igfbpl1
UPK3B,Upk3b
CASQ2,Casq2
ERG28,Erg28
RUNX3,Runx3
PRKDC,Prkdc
CNP,Cnp
PDYN,Pdyn
OGA,Oga
KLF11,Klf11
PROZ,Proz
CCDC174,Ccdc174
SYT3,Syt3
LANCL3,Lancl3
IFT172,Ift172
CTBP1,Ctbp1
PSMF1,Psmf1
CHRNG,Chrng
SVOPL,Svopl
HTR5A,Htr5a
MOSPD3,Mospd3
SF3B3,Sf3b3
PRCD,Prcd
LANCL1,Lancl1
ADAMTSL2,Adamtsl2
CERS4,Cers4
MAGIX,Magix
IKZF3,Ikzf3
CCDC150,Ccdc150
MLXIP,Mlxip
FMO2,Fmo2
PCID2,Pcid2
CYGB,Cygb
CDYL,Cdyl
STK35,Stk35
NPM3,Npm3
F10,F10
KRTCAP2,Krtcap2
C10orf82,1700019N19Rik
HAS1,Has1
C19orf81,1700008O03Rik
THNSL2,Thnsl2
ADIPOR1,Adipor1
LIPG,Lipg
HSPA8,Hspa8
ZNF629,Zfp629
OTOG,Otog
FUBP3,Fubp3
ARPC5,Arpc5
TMEM95,Tmem95
TRIM46,Trim46
KCTD11,Kctd11
INA,Ina
SEC23B,Sec23b
TK2,Tk2
NKX6-3,Nkx6-3
ULK2,Ulk2
ZPBP2,Zpbp2
C3orf20,4930590J08Rik
F2RL1,F2rl1
NT5C2,Nt5c2
FKTN,Fktn
XK,Xk
VPS35L,Vps35l
SPAG8,Spag8
FAM163B,Fam163b
FABP1,Fabp1
DIO2,Dio2
MTSS1,Mtss1
ENO4,Eno4
PHC1,Phc1
ABHD6,Abhd6
CBLB,Cblb
FAT2,Fat2
AP002495.1,Xndc1
APBA1,Apba1
DDX42,Ddx42
CCND2,Ccnd2
MOXD1,Moxd1
TAL2,Tal2
ZBTB21,Zbtb21
CLHC1,Clhc1
GPAT4,Gpat4
ONECUT3,Onecut3
DDX47,Ddx47
NUDT16L1,Nudt16l1
GMDS,Gmds
TRIML1,Triml1
HSPA12A,Hspa12a
FASN,Fasn
MGRN1,Mgrn1
PRR27,Prr27
C2CD2,C2cd2
RIMS3,Rims3
RTCB,Rtcb
RPL17,Rpl17
TMEM38B,Tmem38b
HNF4G,Hnf4g
SEMA4D,Sema4d
EVX1,Evx1
RPS27A,Rps27a
SHOC1,Shoc1
IGHM,Ighm
IFITM10,Ifitm10
C9orf64,2210016F16Rik
INSIG1,Insig1
PTPRC,Ptprc
ESR1,Esr1
IFT20,Ift20
MARCKS,Marcks
GFAP,Gfap
ASCL4,Ascl4
PLPP5,Plpp5
PTBP3,Ptbp3
PSTPIP2,Pstpip2
SNCAIP,Sncaip
QSOX2,Qsox2
C18orf32,BC031181
RPL5,Rpl5
CCDC61,Ccdc61
PREX2,Prex2
CLIC4,Clic4
MYOD1,Myod1
TMEM216,Tmem216
REEP3,Reep3
OR52N5,Olfr669
CDKN3,Cdkn3
JAK1,Jak1
C1QB,C1qb
KCNC1,Kcnc1
SENP2,Senp2
DIPK1A,Dipk1a
JMJD1C,Jmjd1c
CCDC92,Ccdc92
HINT2,Hint2
VANGL1,Vangl1
SDHAF2,Sdhaf2
SPP1,Spp1
ARID1A,Arid1a
DEPDC7,Depdc7
KIF18B,Kif18b
LHX3,Lhx3
TMEM59L,Tmem59l
ODAM,Odam
CYS1,Cys1
ABLIM2,Ablim2
CPSF7,Cpsf7
TBL1XR1,Tbl1xr1
TMEM147,Tmem147
GJD3,Gjd3
SRSF5,Srsf5
TAOK2,Taok2
SNX31,Snx31
TMEM168,Tmem168
ZNF180,Zfp180
SLC26A9,Slc26a9
SMOX,Smox
EN2,En2
ELAC2,Elac2
AC002456.2,1700015F17Rik
SEC14L3,Sec14l3
MKNK1,Mknk1
TSGA13,Tsga13
RUFY1,Rufy1
VSIG2,Vsig2
SGCE,Sgce
RAVER2,Raver2
RDH5,Rdh5
STRBP,Strbp
CCN2,Ccn2
PSMB8,Psmb8
TMEM8B,Tmem8b
LARS1,Lars
TRAFD1,Trafd1
KIF7,Kif7
ASPA,Aspa
ORMDL3,Ormdl3
KLHL12,Klhl12
TMBIM1,Tmbim1
HACE1,Hace1
UNC5B,Unc5b
WDR37,Wdr37
LMNTD2,Lmntd2
TBK1,Tbk1
CPSF6,Cpsf6
FAM219A,Fam219a
XRCC3,Xrcc3
KPRP,Kprp
BHLHE40,Bhlhe40
AGXT,Agxt
SF3B2,Sf3b2
VTI1B,Vti1b
MROH9,Mroh9
CTHRC1,Cthrc1
EXO5,Exo5
F2R,F2r
ICOS,Icos
GC,Gc
SLC7A6OS,Slc7a6os
RBM45,Rbm45
RASGRP2,Rasgrp2
ENTPD7,Entpd7
BSX,Bsx
LRRC56,Lrrc56
C1orf68,2310050C09Rik
PPP4R4,Ppp4r4
ARG2,Arg2
MYL10,Myl10
FMO3,Fmo3
DDX20,Ddx20
FAM221B,Fam221b
CEMIP,Cemip
TICRR,Ticrr
NCF2,Ncf2
LDHC,Ldhc
AOAH,Aoah
USP5,Usp5
GPRC5B,Gprc5b
TGFB1I1,Tgfb1i1
SLC18A1,Slc18a1
SLCO4C1,Slco4c1
CUTC,Cutc
NXF1,Nxf1
MBTPS1,Mbtps1
GPR21,Gpr21
NRGN,Nrgn
GINS4,Gins4
COA4,Coa4
PNKD,Pnkd
RABGAP1,Rabgap1
IQCK,Iqck
UCK2,Uck2
PLCXD3,Plcxd3
ARHGAP44,Arhgap44
SBSN,Sbsn
LRRC3C,Lrrc3c
FTSJ3,Ftsj3
TSPAN10,Tspan10
NDUFAF4,Ndufaf4
MAB21L4,Mab21l4
GPRC5A,Gprc5a
CSN3,Csn3
NDUFA10,Ndufa10
ATP6V1B2,Atp6v1b2
SMIM26,Smim26
KNOP1,Knop1
ELOVL7,Elovl7
DBH,Dbh
GOLGA7,Golga7
RMC1,Rmc1
AL133353.2,Cox15
BCL7C,Bcl7c
MYO7B,Myo7b
PDE6G,Pde6g
CYBB,Cybb
GLTP,Gltp
PTER,Pter
RABIF,Rabif
GAPDHS,Gapdhs
NCALD,Ncald
NGF,Ngf
JHY,Jhy
PRDM12,Prdm12
GUF1,Guf1
C1QL1,C1ql1
FAM189A2,Fam189a2
CABS1,Cabs1
UTP15,Utp15
LARP1B,Larp1b
EIF4G1,Eif4g1
MIEF2,Mief2
SCUBE2,Scube2
RPS3A,Rps3a1
RXFP2,Rxfp2
GTF3C3,Gtf3c3
TRIML2,Triml2
INKA2,Inka2
C1QL3,C1ql3
SERGEF,Sergef
PDE12,Pde12
PALM,Palm
ACP7,Acp7
RSPO4,Rspo4
PARP11,Parp11
SPR,Spr
PDLIM7,Pdlim7
ARF4,Arf4
CPSF4,Cpsf4
MFN1,Mfn1
CNPY1,Cnpy1
BMT2,Bmt2
FHL5,Fhl5
GIT1,Git1
ANGPT4,Angpt4
CDCA3,Cdca3
SPTBN4,Sptbn4
DYM,Dym
DDC,Ddc
ZFP69,Zfp69
C1D,C1d
CNIH1,Cnih1
ZFP42,Zfp42
CRLF1,Crlf1
CARNS1,Carns1
CNTN6,Cntn6
FAM174B,Fam174b
CRTAM,Crtam
GADD45G,Gadd45g
GPR63,Gpr63
OXLD1,Oxld1
NPC1,Npc1
QSER1,Qser1
DENND6A,Dennd6a
NOVA2,Nova2
UFL1,Ufl1
CERS6,Cers6
SNX10,Snx10
MED6,Med6
TMEM97,Tmem97
PCBD1,Pcbd1
TBC1D10C,Tbc1d10c
KLF14,Klf14
TGM6,Tgm6
RAP1A,Rap1a
DUSP4,Dusp4
SPARC,Sparc
NANOS2,Nanos2
TSPAN2,Tspan2
RASEF,Rasef
NUPR1,Nupr1
ZNF664,Zfp664
CROCC2,Crocc2
EIF2B5,Eif2b5
ZC3HAV1L,Zc3hav1l
C8A,C8a
SEC22A,Sec22a
ITGA7,Itga7
CA4,Car4
TOP2A,Top2a
KANK1,Kank1
RPS15,Rps15
ZNRF3,Znrf3
CUL4A,Cul4a
FPR1,Fpr1
ATP8B3,Atp8b3
SMAP2,Smap2
TSHB,Tshb
RTBDN,Rtbdn
SLC25A1,Slc25a1
ZNF354A,Zfp354a
DYNLT3,Dynlt3
EMX1,Emx1
EZR,Ezr
GNPDA2,Gnpda2
CKLF,Cklf
MRPS24,Mrps24
SGF29,Sgf29
AKAP10,Akap10
PHB,Phb
HSDL1,Hsdl1
ASCC3,Ascc3
SPCS1,Spcs1
LIFR,Lifr
H2AP,H2ap
ADAMTS2,Adamts2
SCP2D1,Scp2d1
TSC22D2,Tsc22d2
METTL7B,Mettl7b
GPR85,Gpr85
PRR32,Prr32
CFAP300,Cfap300
ATP9B,Atp9b
C2orf66,Gm34066
ANO1,Ano1
CHORDC1,Chordc1
PRRX1,Prrx1
LPXN,Lpxn
SYTL3,Sytl3
SMG7,Smg7
PRMT7,Prmt7
FEZF1,Fezf1
CCDC154,Ccdc154
GNL3,Gnl3
NLK,Nlk
PAPSS2,Papss2
ARHGEF16,Arhgef16
TMEM223,Tmem223
URGCP,Urgcp
NPFFR2,Npffr2
NMT1,Nmt1
FAM110A,Fam110a
PKD2,Pkd2
MTFP1,Mtfp1
PDIA4,Pdia4
PDIA5,Pdia5
ARL8B,Arl8b
HIBADH,Hibadh
IDE,Ide
ACAP1,Acap1
GNAT3,Gnat3
TMEM179B,Tmem179b
SMIM30,2610001J05Rik
GNB3,Gnb3
SHKBP1,Shkbp1
RPLP1,Gm5244
PAPOLA,Papola
OR5B21,Olfr1444
TMCO1,Tmco1
DCAKD,Dcakd
CTF1,Ctf1
ZNF786,Zfp786
TMEM219,Tmem219
PRMT8,Prmt8
CAMK2A,Camk2a
SMPD3,Smpd3
PSMC5,Psmc5
TAX1BP1,Tax1bp1
LAMP1,Lamp1
DPY19L4,Dpy19l4
OSBPL6,Osbpl6
IL17RB,Il17rb
CRACR2A,Cracr2a
CLDN12,Cldn12
SMAD7,Smad7
CEP126,Cep126
MMS22L,Mms22l
PGAP1,Pgap1
CCDC137,Ccdc137
GRTP1,Grtp1
EPG5,Epg5
FBXO24,Fbxo24
GAL3ST3,Gal3st3
LMBRD1,Lmbrd1
TNKS,Tnks
PIK3CD,Pik3cd
FGD5,Fgd5
GLT8D1,Glt8d1
DVL3,Dvl3
ST8SIA2,St8sia2
PM20D1,Pm20d1
TRMT5,Trmt5
RINL,Rinl
SYT8,Syt8
MAF1,Maf1
ARL16,Arl16
PCOLCE,Pcolce
LIMCH1,Limch1
ACTR8,Actr8
M1AP,M1ap
ANKRD40,Ankrd40
SPIDR,Spidr
HEATR1,Heatr1
SEMA5B,Sema5b
DMRT1,Dmrt1
PPIL6,Ppil6
AC055811.2,Flcn
NPHS1,Nphs1
SMYD1,Smyd1
PRKRA,Prkra
PEG10,Peg10
ZNF106,Zfp106
MYPOP,Mypop
SFRP1,Sfrp1
INPP4B,Inpp4b
CNPY4,Cnpy4
BRD3,Brd3
ZC3HAV1,Zc3hav1
ATP6V0E2,Atp6v0e2
ABHD15,Abhd15
RFLNA,Rflna
ADGRB2,Adgrb2
KMT5C,Kmt5c
TRPV2,Trpv2
TP53I13,Trp53i13
MBLAC1,Mblac1
KCTD21,Kctd21
PERCC1,Gm38655
MTMR12,Mtmr12
IFNG,Ifng
C1orf159,9430015G10Rik
ZCCHC2,Zcchc2
RRM2,Rrm2
CEBPD,Cebpd
TSPAN11,Tspan11
VPS13A,Vps13a
C16orf91,BC003965
TAOK1,Taok1
